V0061980000;СЪЕЗДЫ С АВТОМОБИЛЬНЫХ ДОРОГ;NoneStyleLine
V006196;ПЕРЕВАЛЫ ПРОЧИЕ;NoneStyleLine
L0062110000;ДЕПО;NoneStyleLine
S0062110000;ДЕПО (к-с);NoneStylePoly
S00621100001;ДЕПО;NoneStylePoly
V0062110000;ДЕПО;NoneStyleLine
L0062120000;ВОКЗАЛЫ ;NoneStyleLine
S0062120000;ВОКЗАЛЫ ;NoneStylePoly
V0062120000;ВОКЗАЛЫ;NoneStyleLine
S0062131000;СТАНЦИИ ВСЕХ КЛАССОВ;NoneStylePoly
